project_id,Sensors_cnt,Sensors_A_cnt,Sensors_B_cnt,Sensors_C_cnt,project_name,seeding_date,zan,flower_per_m,du_gidul,kav_noa,area,ET_station,sensor_type
2873,3,3,0,0,Ein tzurim du-gidul Dganim 2 Cotton 2015,1/1/2015,99,6/29/2015,1,0,darom,negba,regular
2874,3,3,0,0,Ein tzurim du-gidul Bet 4 Cotton 2015,3/30/2015,9,6/24/2015,1,0,darom,negba,regular
2875,3,3,0,0,Ein tzurim Abdis 1 mizrah Cotton 2015,3/15/2015,4,6/14/2015,0,0,darom,negba,regular
2876,3,3,0,0,Shiller 7 Cotton 2015,3/15/2015,1,1/1/2015,0,0,darom,beit_dagan,regular
2877,3,3,0,0,Gat Gadol tzafon Cotton 2015,3/15/2015,5,6/14/2015,0,0,darom,negba,regular
2878,3,3,0,0,Shiller 1 maarav Cotton 2015,3/15/2015,5,1/1/2015,0,0,darom,beit_dagan,regular
2879,3,3,0,0,Shiller 1 mizrah Cotton 2015,3/15/2015,5,1/1/2015,0,0,darom,beit_dagan,regular
2880,3,3,0,0,Gevaram Niva Alef Cotton 2015,1/1/2015,4,6/22/2015,0,0,darom,negba,regular
2881,3,3,0,0,Gevaram Horva Cotton 2015,1/1/2015,4,1/1/2015,0,0,darom,negba,regular
2882,3,3,0,0,Gevaram Hadash bet Cotton 2015,1/1/2015,4,1/1/2015,0,0,darom,negba,regular
2883,3,3,0,0,Gevaram Mesila Maarav Cotton 2015,1/1/2015,5,1/1/2015,0,0,darom,negba,regular
2884,3,3,0,0,Gevaram Niva Bet Cotton 2015,1/1/2015,4,6/22/2015,0,0,darom,negba,regular
2885,3,3,0,0,Gevaram Horva Ezer Cotton 2015,1/1/2015,4,1/1/2015,0,0,darom,negba,regular
2886,,,,,Ein tzurim du-gidul Alef kavnoa tzafon Cotton 2015,4/15/2015,5,6/30/2015,1,1,darom,negba,regular
2887,,,,,Ein tzurim du-gidul Alef kavnoa darom Cotton 2015,4/15/2015,5,6/30/2015,1,1,darom,negba,regular
2889,3,3,0,0,Gat Sde Moshe bet cotton Cotton 2015,3/13/2015,99,6/7/2015,0,0,darom,negba,regular
2897,3,3,0,0,Yavne 1 Cotton 2015,3/20/2015,4,6/14/2015,0,0,darom,beit_dagan,regular
2898,3,3,0,0,Yavne 6 Cotton 2015,3/20/2015,5,6/14/2015,0,0,darom,beit_dagan,regular
2899,3,3,0,0,Yavne du-gidul 10 Cotton 2015,4/6/2015,5,6/22/2015,1,0,darom,beit_dagan,regular
2900,3,3,0,0,Yavne 21 Cotton 2015,3/13/2015,9,6/6/2015,0,0,darom,beit_dagan,regular
2901,3,3,0,0,Yavne 36 Cotton 2015,3/13/2015,6,6/8/2015,0,0,darom,beit_dagan,regular
2902,3,3,0,0,Yavne 25 Cotton 2015,3/18/2015,5,6/16/2015,0,0,darom,beit_dagan,regular
2903,3,3,0,0,Yavne 40 Cotton 2015,3/18/2015,99,6/10/2015,0,0,darom,beit_dagan,regular
2904,6,5,1,0,Yavne 53 Cotton 2015,3/16/2015,99,6/6/2015,0,0,darom,beit_dagan,regular
