sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
24520,3252,24516,2,0,0,1,0,46,0,59,2,B
24524,3259,24521,0,0,0,2,0,46,0,59,2,B
24525,3259,24521,0,0,0,1,0,47,0,59,1,B
24526,3035,24526,3,0,0,6,3,92,0,7,8,A
24529,3036,24529,0,0,2,4,3,90,0,13,4,A
24570,2804,24568,0,0,0,2,0,94,0,11,2,A
24571,2804,24568,11,0,0,3,0,83,0,11,13,A
24573,2804,24568,1,0,0,4,0,91,1,11,4,A
24576,2805,24574,0,0,0,1,0,94,0,11,2,A
24577,2805,24574,0,0,0,2,0,93,0,11,3,A
24579,2805,24574,0,0,0,2,0,93,0,12,2,A
24582,2889,24580,2,0,0,2,0,75,0,27,5,A
24583,2889,24580,0,0,0,2,0,76,0,26,5,A
24585,2889,24580,0,0,0,1,0,76,0,26,5,A
24588,2801,24586,0,0,0,2,0,87,0,17,3,A
24589,2801,24586,0,0,0,3,0,86,0,17,4,A
24591,2801,24586,0,0,0,0,0,89,0,17,1,A
24594,2802,24592,0,0,0,2,0,87,0,17,3,A
24595,2802,24592,0,0,0,3,0,86,0,17,4,A
24597,2802,24592,0,0,3,2,0,87,0,17,3,A
24600,2877,24598,1,0,0,3,0,53,1,17,36,A
24601,2877,24598,0,0,0,8,0,54,1,17,35,A
24603,2877,24598,0,0,0,9,0,54,1,17,35,A
24606,2803,24604,7,3,3,10,1,84,0,11,12,A
24607,2803,24604,1,7,7,6,0,84,0,11,12,A
24609,2803,24604,4,0,0,9,0,85,0,11,11,A
24751,3041,24749,2,0,0,5,0,70,0,32,5,A
24809,3082,24804,9,0,0,6,7,58,1,35,13,A
24837,2822,24834,0,0,0,2,1,46,0,59,2,B
24839,2822,24834,0,0,0,3,0,88,0,16,3,A
24843,2821,24840,0,0,0,2,0,89,0,16,2,A
24845,2821,24840,0,0,0,1,0,90,0,16,1,A
24849,2820,24846,0,0,0,3,0,88,0,16,3,A
24851,2820,24846,2,0,0,2,0,87,0,16,4,A
24855,2819,24852,0,0,0,1,0,63,1,37,6,A
24857,2819,24852,0,0,0,3,0,61,1,37,8,A
24922,2790,24919,5,0,0,3,0,74,1,23,9,A
24924,2790,24919,5,0,0,3,0,77,0,23,7,A
24928,2993,24925,6,0,0,2,0,74,0,25,8,A
24930,2993,24925,6,0,0,6,0,72,0,25,10,A
24934,2994,24931,5,0,0,5,0,86,0,12,9,A
24936,2994,24931,1,0,0,5,4,86,0,12,9,A
24940,2791,24937,5,0,0,4,0,76,0,23,8,A
24942,2791,24937,0,0,0,3,2,77,0,23,7,A
24946,2992,24943,5,0,0,5,0,87,0,11,9,A
24948,2992,24943,3,0,0,6,1,77,0,11,19,A
24952,2815,24949,10,0,0,4,8,78,0,16,13,A
