sensor_id,gap_corr_sum Week1,gap_corr_sum Week10,gap_corr_sum Week11,gap_corr_sum Week12,gap_corr_sum Week13,gap_corr_sum Week14,gap_corr_sum Week15,gap_corr_sum Week2,gap_corr_sum Week3,gap_corr_sum Week4,gap_corr_sum Week5,gap_corr_sum Week6,gap_corr_sum Week7,gap_corr_sum Week8,gap_corr_sum Week9,gap_corr_sum_square Week1,gap_corr_sum_square Week10,gap_corr_sum_square Week11,gap_corr_sum_square Week12,gap_corr_sum_square Week13,gap_corr_sum_square Week14,gap_corr_sum_square Week15,gap_corr_sum_square Week2,gap_corr_sum_square Week3,gap_corr_sum_square Week4,gap_corr_sum_square Week5,gap_corr_sum_square Week6,gap_corr_sum_square Week7,gap_corr_sum_square Week8,gap_corr_sum_square Week9,raw_corr_sum Week1,raw_corr_sum Week10,raw_corr_sum Week11,raw_corr_sum Week12,raw_corr_sum Week13,raw_corr_sum Week14,raw_corr_sum Week15,raw_corr_sum Week2,raw_corr_sum Week3,raw_corr_sum Week4,raw_corr_sum Week5,raw_corr_sum Week6,raw_corr_sum Week7,raw_corr_sum Week8,raw_corr_sum Week9,raw_corr_sum_square Week1,raw_corr_sum_square Week10,raw_corr_sum_square Week11,raw_corr_sum_square Week12,raw_corr_sum_square Week13,raw_corr_sum_square Week14,raw_corr_sum_square Week15,raw_corr_sum_square Week2,raw_corr_sum_square Week3,raw_corr_sum_square Week4,raw_corr_sum_square Week5,raw_corr_sum_square Week6,raw_corr_sum_square Week7,raw_corr_sum_square Week8,raw_corr_sum_square Week9
25952,,360.8611,372.0456,381.3427,382.0773,396.2886,363.6976,,,211.0872,248.9184,276.2213,278.7701,339.8532,345.2764,,266.6614,281.008,298.5847,302.0473,322.9471,304.8009,,,103.4075,136.4346,166.9217,175.9827,246.7345,251.989,,272.1828,285.729,322.9562,352.3177,364.5525,326.3605,,,395.3102,418.4992,298.3418,241.2746,302.3266,279.9604,,192.1801,201.4206,247.4231,295.3635,297.8901,263.1523,,,441.5195,463.0215,417.9581,382.0036,324.9475,194.9063
25954,,349.9465,323.8868,338.0812,385.063,401.5647,349.6749,,,253.0211,270.3223,270.8943,279.7649,319.1985,327.9274,,244.6488,210.3056,235.3964,306.9143,330.6645,282.052,,,148.8279,158.6475,159.7522,176.6292,218.527,226.0483,,143.1061,185.4284,270.3402,336.6602,274.3352,251.459,,,395.1914,419.703,300.9804,262.0945,270.346,116.7524,,151.1035,139.6892,228.9919,281.5417,187.2628,164.1964,,,438.1438,465.4123,426.3755,354.9946,231.7094,110.7318
25957,,363.3776,378.6605,377.4744,386.4304,393.8788,350.5687,,,257.4674,279.9296,278.2358,288.6345,323.9287,347.4589,,268.938,290.4495,292.6742,308.9006,319.3634,283.9921,,,156.2103,172.3716,166.9212,187.5307,224.7076,252.8848,,257.7545,297.4937,328.5626,356.454,354.5776,312.7082,,,391.493,-202.0126,247.6671,-208.7799,279.2665,234.2431,,194.1462,214.8074,256.3342,296.9729,275.3622,244.6097,,,423.3725,134.6059,353.941,317.413,252.9995,148.5974
25958,,363.895,369.92,364.3408,357.382,367.8813,317.5747,,,214.041,241.5994,269.0773,265.1007,309.5295,320.9148,,269.7187,277.7666,274.4977,266.5075,281.3488,236.3834,,,108.186,126.1466,156.0075,157.4152,206.4305,218.8769,,231.0749,256.9953,318.9714,351.9859,342.3017,285.7644,,,396.5525,416.9634,299.6382,260.7363,287.1563,219.812,,181.1659,180.2238,250.3526,285.033,258.502,201.7733,,,442.3401,461.4632,430.2559,372.4029,297.7025,135.5762
25960,,368.3271,371.943,371.3745,381.3432,392.8993,352.4753,,,217.493,252.2315,282.8213,281.8256,327.154,344.5794,,274.6081,280.3548,283.3513,300.6447,317.2748,286.4196,,,115.093,138.4197,172.9619,178.1173,225.3825,248.3923,,262.3071,275.8487,322.0451,357.2519,361.5191,311.1145,,,396.7344,415.22,262.0859,247.2294,297.2009,224.1229,,192.3341,194.3125,250.6177,298.1875,287.1687,245.1265,,,437.7326,450.2569,308.9485,373.3004,328.5643,142.6252
25963,,,,331.5195,329.816,336.654,,,,268.5592,305.6922,317.568,286.3224,330.9882,305.5208,,,,228.4059,228.4967,237.1857,,,,174.2491,202.8941,215.7508,180.5738,230.4052,192.8778,,,,284.3018,336.1893,295.156,,,,221.7085,388.4774,284.661,-149.7732,296.5334,301.7223,,,,181.1903,248.7613,199.5507,,,,137.2328,392.6299,407.2067,183.6858,319.3118,257.319
25964,,256.4887,,308.5376,347.087,383.1874,,,,272.4113,283.8226,,,,,,132.0092,,194.6496,249.9474,302.3682,,,,177.7718,177.6054,,,,,,139.8414,,207.2259,303.5679,306.4162,,,,78.2551,290.8278,,,,,,138.585,,110.094,203.7326,211.6283,,,,19.2697,215.3171,,,,
25966,,254.3138,27.0166,18.6011,-31.6317,-48.4527,,,,233.1555,221.1486,226.256,259.8142,329.1799,318.6636,,137.2223,4.3982,3.0434,4.8236,7.3121,,,,129.5464,113.0287,117.3474,153.3421,228.6107,210.5565,,43.4378,25.6903,79.6003,-5.0148,-28.3661,,,,-231.3627,381.7104,-251.3568,230.2415,293.5367,299.0591,,179.6394,114.4836,45.0585,61.6386,51.5174,,,,194.3966,394.396,367.8011,300.1338,304.2539,235.3963
25969,,339.7274,351.5096,362.8319,393.4679,405.8088,,,,,201.2148,,,302.8864,319.4305,,230.6139,247.0465,269.21,319.7958,337.5121,,,,,89.6136,,,192.0288,209.6843,,96.0997,271.7308,348.7236,336.4076,363.5697,,,,,383.0704,,,295.5954,316.3245,,151.8972,200.4772,267.9611,281.2389,294.177,,,,,372.3143,,,339.4146,284.4633
25970,,243.0449,343.8199,337.4032,377.8218,393.5069,,,,,242.0343,268.3008,281.8086,307.6748,256.7257,,118.4964,239.1577,235.256,295.8489,318.0074,,,,,129.0799,155.6601,175.1566,198.1757,135.5675,,188.7217,65.7774,242.5335,329.0739,363.0362,,,,,419.2563,300.7858,262.6526,218.9194,191.6988,,161.6338,104.2931,142.3685,268.5927,290.6832,,,,,463.4063,425.4171,352.8288,145.4044,108.4049
