datetime,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10
7/12/2015 20:00,0.009380882,0.092018803,-0.032960629,-0.041230918,0.007964989,-0.062972988,0.020519676,-0.000431896,-0.064074362,0.044335082,0.043003852,0.051299071,0.084908162,-0.057332626,0.06179957,0.024429035,-0.019405338,0.021124484,0.109032543,0.061718479,0.079288219,-0.138560267,0.092561585,0.008514741,0.138333858,-0.091192574,-0.103748472,0.023919913,0.036756465,-0.064870143,0.017851613,0.091037883,-0.05034466,0.063134805,0.072324266,-0.100051261,-0.054193513,-0.005030252,-0.130388211,-0.040193555
7/12/2015 21:00,-0.001422465,0.047218221,-0.019087238,-0.024355201,0.002351273,-0.036819248,0.006447318,0.004479908,-0.038628583,0.015713719,0.021623233,0.035600075,0.046199919,-0.030165965,0.032197221,0.014517226,-0.004766953,0.012810585,0.055333426,0.027119344,0.066889658,-0.125978989,0.122233926,-0.002330948,0.112570084,-0.077954799,-0.105113129,0.014920075,0.034680976,-0.052683782,0.018585583,0.065815744,-0.056664891,0.051749091,0.059587941,-0.081682093,-0.042504211,-0.024871461,-0.130667988,-0.005134943
7/12/2015 22:00,-0.003361991,0.023787245,-0.003774027,-0.012308729,0.001805236,-0.014583044,0.002535762,0.002487017,-0.024513482,-0.000853591,0.007851865,0.018181177,0.019542454,-0.011585043,0.010937038,0.003908168,-0.00568406,0.007880122,0.022864555,0.013845404,0.05977623,-0.117499637,0.145303093,-0.005653858,0.090626077,-0.069539136,-0.110099595,0.00879337,0.031700903,-0.039370805,0.019366955,0.049072356,-0.060871514,0.043556201,0.054930994,-0.0650804,-0.03757156,-0.034643447,-0.129642595,0.023287146
7/12/2015 23:00,0,6.02E-36,7.89E-31,6.20E-25,2.58E-25,-3.31E-24,3.31E-24,5.29E-23,2.65E-23,5.29E-23,0,0,0,1.23E-32,-1.51E-28,0,1.55E-25,8.27E-25,-4.24E-22,-3.39E-21,0.056158993,-0.112630763,0.159381874,-0.004005884,0.072068074,-0.068135884,-0.116357484,0.006498823,0.034816879,-0.034665065,0.019997426,0.039527776,-0.063943932,0.038103426,0.055413229,-0.04787568,-0.03475097,-0.038002559,-0.131462223,0.04633163
7/13/2015 0:00,0,9.40E-38,-2.47E-32,1.29E-26,0,4.14E-25,-1.65E-24,1.99E-23,2.65E-23,3.31E-24,0,0,0,-1.16E-33,-2.52E-29,1.21E-27,-1.62E-26,-1.03E-25,2.65E-23,-8.47E-22,0,0,0,0,-9.03E-36,6.93E-33,1.23E-32,-7.89E-31,1.01E-28,-3.97E-23,0.020664514,0.030548802,-0.067137731,0.036747642,0.055304522,-0.030097215,-0.035831932,-0.03564633,-0.127225505,0.060682486
7/13/2015 1:00,0.003446203,-0.021843782,0.011506609,0.019701548,-0.001263907,0.002360591,0.00916245,0.00123781,0.016217567,-0.018739336,-0.004793529,-0.013158244,-0.009149734,0.00460935,-0.006261702,0.008694758,-0.008496348,-0.00782983,-0.017739787,-0.015585602,-0.002232025,0.000843669,0.010537414,0.00264473,-0.013928065,0.003662985,-0.004421318,-0.007256031,0.00588131,0.013681585,0.021201462,0.024328069,-0.070247839,0.034824286,0.056686584,-0.0170523,-0.035547335,-0.043236802,-0.126467192,0.077121573
7/13/2015 2:00,0.006748858,-0.04066265,0.025802236,0.040808803,0.006038988,0.000442435,0.009859685,-0.015667409,0.02620308,-0.015828753,-0.008448749,-0.026292227,-0.019694231,0.012155713,-0.010313267,0.008200999,-0.023475129,-0.013475517,-0.036539273,-0.017418853,-0.003268737,0.003416522,0.022177382,0.002002563,-0.030010003,0.004910088,-0.007991074,-0.008201292,0.008986469,0.02922978,0.021882219,0.018553135,-0.071682238,0.032126453,0.057029795,-0.002598289,-0.032718271,-0.045496726,-0.129449876,0.088387347
7/13/2015 3:00,0.010747974,-0.056180402,0.046958017,0.040470888,0.019601324,-0.014566872,0.001869554,-0.015655841,0.038107059,-0.047625965,-0.011994325,-0.040657376,-0.025010439,0.016019408,-0.013196451,0.009629197,-0.048546444,-0.020151881,-0.062868789,-0.018866575,-0.004359757,0.002656411,0.034564615,0.005620172,-0.044399999,0.005868641,-0.009481332,-0.011332254,0.008940762,0.063889093,0.022548937,0.014014214,-0.075889133,0.0277625,0.058746862,0.009042475,-0.031666051,-0.046811367,-0.130620884,0.10607355
7/13/2015 4:00,0.016771192,-0.072441078,0.079236457,0.068996623,0.020396495,-0.022933289,-0.006859817,-0.029912378,0.046281356,-0.057011182,-0.014299854,-0.052755657,-0.031252913,0.01863891,-0.018770013,0.013149121,-0.077481781,-0.030461178,-0.074404013,-0.026739948,-0.004701553,0.003872625,0.044708388,0.008336206,-0.055821441,0.006520323,-0.013748038,-0.013679558,0.017306968,0.090692433,0.023120845,0.010302333,-0.07777827,0.025095015,0.062573114,0.017774092,-0.032391428,-0.049595053,-0.132988487,0.123459213
7/13/2015 5:00,0.029671515,-0.083437218,0.104104572,0.090881509,0.03324663,-0.042965418,-0.020500484,-0.046165805,0.043058898,-0.064887591,-0.014272238,-0.067207439,-0.037914903,0.017865917,-0.022647776,0.012702289,-0.107362831,-0.038089924,-0.086100104,-0.019421145,-0.00392963,0.005684318,0.051931279,0.013959593,-0.068302338,0.007361927,-0.014010778,-0.01388016,0.020747238,0.122106431,0.023541894,0.008780826,-0.078838753,0.018887061,0.064687855,0.027914427,-0.032427154,-0.047518455,-0.133291351,0.140650669
7/13/2015 6:00,0.045220897,-0.094258874,0.129650985,0.099671189,0.045700631,-0.059990599,-0.01978653,-0.074619506,0.042432736,-0.068499965,-0.015852547,-0.082083943,-0.039126056,0.015173737,-0.022452332,0.012887539,-0.127915324,-0.045486926,-0.092578114,-0.002685702,-0.003894441,0.004540654,0.062151322,0.020205066,-0.079903835,0.003704639,-0.015499769,-0.014631951,0.018230125,0.141701174,0.024101401,0.006457921,-0.08221866,0.014742023,0.070519124,0.036845948,-0.033025574,-0.042491955,-0.132286232,0.149652391
7/13/2015 7:00,0.060087397,-0.106371205,0.17494937,0.12416688,0.065306218,-0.095763833,-0.034953133,-0.104674774,0.011850353,-0.03725223,-0.016373543,-0.097190903,-0.043035654,0.011977148,-0.035752344,0.016742263,-0.150437229,-0.076422461,-0.094013915,0.015366009,-0.002623095,0.004775473,0.073788935,0.031925732,-0.090650453,0.01075014,-0.013122677,-0.03118462,0.023311518,0.170359752,0.024835096,0.004954232,-0.085069204,0.007743898,0.076634437,0.04581889,-0.034895303,-0.056114537,-0.118994723,0.172114103
7/13/2015 8:00,0.076292149,-0.112779489,0.16707323,0.122871823,0.091007039,-0.093988555,-0.009498871,-0.110148533,-0.031752019,-0.002002866,-0.012567849,-0.11249649,-0.035596963,0.007304599,-0.038225485,-0.001430091,-0.143193423,-0.08971069,-0.081282578,0.059563298,0.000146337,0.00058684,0.075495209,0.042533709,-0.101449879,0.006077661,0.000763472,-0.034197229,0.014376762,0.157414824,0.025078037,0.009336807,-0.087984163,0.002230095,0.083183018,0.054350169,-0.029268935,-0.04655738,-0.097125443,0.169103148
7/13/2015 9:00,0.091892778,-0.10164124,0.175616353,0.138863596,0.107608298,-0.070453347,0.006306711,-0.088967564,-0.085957779,0.01476983,0.001961863,-0.122942822,-0.004323469,-0.00080333,-0.058784953,-0.013516084,-0.137698694,-0.097287467,-0.079319313,0.107686644,0.012559329,-0.015089182,0.074677168,0.061151103,-0.104836193,0.008738318,0.017625782,-0.03008616,0.003873772,0.139176549,0.02631998,0.026969044,-0.090949435,-0.000502097,0.091700332,0.058530536,-0.040196655,-0.0322086,-0.059252369,0.156046662
