sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Class1,Leave
25398,2861,25396,0,0,0,2,0,94,0,13,A,NULL
25399,2861,25396,0,0,0,2,0,94,0,13,A,NULL
25401,2861,25396,0,0,0,3,0,92,0,15,A,NULL
25404,2931,25402,4,4,5,3,0,88,0,19,A,NULL
25405,2931,25402,0,6,7,1,0,90,0,17,A,NULL
25407,2931,25402,13,8,8,3,0,74,0,33,A,NULL
25410,2848,25408,5,0,0,3,3,95,0,12,A,NULL
25411,2848,25408,31,1,1,5,28,73,0,34,A,NULL
25413,2848,25408,23,0,0,8,5,79,0,28,A,NULL
25416,2793,25414,6,0,0,5,1,89,0,18,A,NULL
25417,2793,25414,5,0,0,4,2,86,0,21,A,NULL
25419,2793,25414,9,0,0,6,5,84,0,23,A,NULL
25422,2930,25420,0,0,0,7,0,81,0,26,A,NULL
25423,2930,25420,0,0,0,13,0,75,0,32,A,NULL
25425,2930,25420,0,0,0,3,0,85,0,22,A,NULL
25428,2860,25426,0,7,8,5,0,93,1,13,A,NULL
25429,2860,25426,0,0,0,3,0,77,1,29,A,NULL
25431,2860,25426,0,0,0,5,0,89,1,17,A,NULL
25434,2795,25432,0,0,0,0,0,95,1,11,A,NULL
25435,2795,25432,0,0,0,7,0,90,0,17,A,NULL
25437,2795,25432,0,0,0,1,0,93,2,12,A,NULL
25440,2796,25438,2,0,0,5,0,91,1,15,A,NULL
25441,2796,25438,37,0,0,7,27,59,0,48,A,NULL
25443,2796,25438,0,0,0,5,0,92,1,14,A,NULL
25446,2794,25444,0,0,0,10,0,86,1,20,A,NULL
25447,2794,25444,0,0,1,13,0,83,0,24,A,NULL
25449,2794,25444,0,0,0,0,0,97,0,10,A,NULL
25452,2919,25450,4,0,0,10,0,73,0,34,A,NULL
25453,2919,25450,6,0,0,3,0,79,0,28,A,NULL
25455,2919,25450,4,6,7,3,0,75,2,30,A,NULL
25458,3117,25456,0,0,0,0,0,86,2,19,A,NULL
25459,3117,25456,0,0,0,3,0,83,1,23,A,NULL
25461,3117,25456,0,7,7,4,0,79,0,28,A,NULL
25466,2933,25464,0,0,0,11,0,90,0,17,A,NULL
25467,2933,25464,0,0,0,6,0,97,0,10,A,NULL
25469,2933,25464,0,0,0,8,0,95,0,12,A,NULL
25472,2932,25470,0,0,0,2,0,94,0,13,A,NULL
25473,2932,25470,0,0,2,1,0,94,0,13,A,NULL
25475,2932,25470,0,0,0,13,0,80,0,27,A,NULL
25478,2997,25476,0,0,0,3,0,90,1,16,A,NULL
25479,2997,25476,0,0,0,8,0,87,0,20,A,NULL
25481,2997,25476,0,0,0,1,0,92,0,15,A,NULL
25484,2996,25482,0,0,0,1,0,92,1,14,A,NULL
25485,2996,25482,0,0,0,6,0,86,0,21,A,NULL
25487,2996,25482,0,0,0,1,0,91,1,15,A,NULL
25490,3083,25488,2,0,0,5,0,90,0,17,A,NULL
25491,3083,25488,1,0,0,3,0,92,0,15,A,NULL
25493,3083,25488,0,0,0,4,0,91,0,16,A,NULL
25496,2832,25494,0,0,0,6,0,82,0,25,A,NULL
25497,2832,25494,0,0,0,13,0,75,0,32,A,NULL
25499,2832,25494,0,0,0,1,0,87,0,20,A,NULL
25502,3013,25500,3,0,0,9,0,90,0,17,A,NULL
25503,3013,25500,0,0,0,7,0,92,2,13,A,NULL
25505,3013,25500,0,0,0,1,0,97,2,8,A,NULL
25508,3012,25506,0,0,0,1,0,102,0,5,A,NULL
25509,3012,25506,0,0,0,1,0,68,2,37,A,NULL
25511,3012,25506,0,1,5,16,0,85,1,21,A,NULL
25514,3000,25512,5,0,0,5,0,93,1,13,A,NULL
