row_idx,col_idx,log2ratio
14,23,2
14,24,5
14,25,4
14,26,2
14,27,4
14,28,4
14,29,5
14,30,3
14,31,3
14,32,5
14,33,4
14,34,2
14,35,5
14,36,4
15,1,4
15,2,5
15,3,4
15,4,3
15,5,4
15,6,3
15,7,4
15,8,5
15,9,3
15,10,5
15,11,4
15,12,5
15,13,2
15,14,3
15,15,5
15,16,3
15,17,2
15,18,2
15,19,4
15,20,3
15,21,4
15,22,2
15,23,4
15,24,4
15,25,5
15,26,3
15,27,4
15,28,1
15,29,3
15,30,4
15,31,2
15,32,5
15,33,5
15,34,2
15,35,4
15,36,4
16,1,5
16,2,3
16,3,2
16,4,2
16,5,5
16,6,1
16,7,3
16,8,3
16,9,2
16,10,4
16,11,2
16,12,2
16,13,3
16,14,4
16,15,3
16,16,4
16,17,1
16,18,2
16,19,3
16,20,5
16,21,3
16,22,4
16,23,3
16,24,5
16,25,4
16,26,5
16,27,3
16,28,1
16,29,3
16,30,5
16,31,3
16,32,5
16,33,4
16,34,3
16,35,5
16,36,4
17,1,5
17,2,4
17,3,5
17,4,4
17,5,3
17,6,2
17,7,3
17,8,5
17,9,3
17,10,3
17,11,4
17,12,4
17,13,3
17,14,3
17,15,4
17,16,4
17,17,3
17,18,4
17,19,2
17,20,4
17,21,5
17,22,3
17,23,4
17,24,4
17,25,4
17,26,2
17,27,3
17,28,3
17,29,3
17,30,2
17,31,3
17,32,5
17,33,2
17,34,5
17,35,3
17,36,3
18,1,4
18,2,4
18,3,4
18,4,2
18,5,4
18,6,3
18,7,3
18,8,4
18,9,2
18,10,4
18,11,4
18,12,4
18,13,4
18,14,2
18,15,5
18,16,4
18,17,4
18,18,4
18,19,5
18,20,4
18,21,4
18,22,2
18,23,4
18,24,4
18,25,4
18,26,3
18,27,4
18,28,0
18,29,2
18,30,4
18,31,4
18,32,4
18,33,5
18,34,2
18,35,4
18,36,3
19,1,5
19,2,4
19,3,4
19,4,4
19,5,5
19,6,3
19,7,3
19,8,4
19,9,3
19,10,3
19,11,4
19,12,3
19,13,4
19,14,3
19,15,4
19,16,5
19,17,4
19,18,3
19,19,1
19,20,1
19,21,4
19,22,3
19,23,4
19,24,5
19,25,4
19,26,3
19,27,2
19,28,1
19,29,3
19,30,3
19,31,4
19,32,4
19,33,4
19,34,4
19,35,4
19,36,5
20,1,4
20,2,4
20,3,4
20,4,4
20,5,4
20,6,4
20,7,3
20,8,5
20,9,2
20,10,5
20,11,3
20,12,4
20,13,1
20,14,1
20,15,5
20,16,4
20,17,5
20,18,3
20,19,3
20,20,3
20,21,4
20,22,4
20,23,4
20,24,4
20,25,5
20,26,3
20,27,2
20,28,3
20,29,3
20,30,2
20,31,3
20,32,4
20,33,5
20,34,2
20,35,4
20,36,4
21,1,5
21,2,5
21,3,3
21,4,2
21,5,6
21,6,3
21,7,5
21,8,4
21,9,3
21,10,5
21,11,4
21,12,4
21,13,4
21,14,4
21,15,5
21,16,5
21,17,3
21,18,4
21,19,6
21,20,5
21,21,4
21,22,0
21,23,4
21,24,5
21,25,5
21,26,6
21,27,3
21,28,4
21,29,5
21,30,4
21,31,4
21,32,4
21,33,4
21,34,4
21,35,5
21,36,6
22,1,6
22,2,6
22,3,5
22,4,0
22,5,5
22,6,4
22,7,6
22,8,6
22,9,4
22,10,5
22,11,6
22,12,6
22,13,5
22,14,5
22,15,6
22,16,6
22,17,5
22,18,6
22,19,6
22,20,5
22,21,6
22,22,0
22,23,6
22,24,5
22,25,6
22,26,6
22,27,5
22,28,2
22,29,5
22,30,6
22,31,6
22,32,6
22,33,6
22,34,5
22,35,6
22,36,4
23,1,3
23,2,4
23,3,5
23,4,3
23,5,5
23,6,3
23,7,4
23,8,5
23,9,5
23,10,5
23,11,4
23,12,4
23,13,4
23,14,5
23,15,3
23,16,5
23,17,3
23,18,5
23,19,2
23,20,2
23,21,5
23,22,1
23,23,6
23,24,3
23,25,5
23,26,4
23,27,4
23,28,6
23,29,4
23,30,4
23,31,4
23,32,6
23,33,4
23,34,0
23,35,3
23,36,3
24,1,3
24,2,3
24,3,5
24,4,4
24,5,2
24,6,3
24,7,4
24,8,6
24,9,4
24,10,4
24,11,4
24,12,4
24,13,4
24,14,4
24,15,3
24,16,4
24,17,3
24,18,4
24,19,4
24,20,3
24,21,4
24,22,2
24,23,5
24,24,3
24,25,5
24,26,2
24,27,4
24,28,4
24,29,4
24,30,3
24,31,6
24,32,4
24,33,4
24,34,1
24,35,3
24,36,2
