id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,1.0877,1.060675,1.085875,1.038675,1.007275,1.02295,0.9060475,1.248775,1.044225,1.4262,1.7725,1.891825,1.821375,1.35405,1.490775,1.237725,2.916025,3.202925,2.78015,2.939275,2.597775,3.047575,4.6904,5.26815,5.5342,5.5156,6.223825,5.585575,5.42065,5.537275,6.708975,7.657775
12,0.8863775,1.14705,1.04095,1.086875,0.9748875,1.18785,1.077,1.020575,0.98161,1.665975,1.6913,1.8802,1.932425,1.2627,1.367475,1.126025,3.248375,3.416275,2.6533,2.773325,2.634325,2.549,4.523325,5.6745,5.333275,5.31085,5.480575,5.461175,5.4495,4.671225,6.985375,8.21975
13,0.9663375,0.9037825,0.9737775,1.0826,1.04375,1.056725,0.99333,0.8794775,1.124025,2.000825,1.87925,1.7066,1.50595,1.458,1.58665,1.42645,3.598225,3.276475,2.997675,2.96285,2.464675,2.962825,4.3475,5.30405,5.3287,5.0861,6.100275,5.28985,6.102675,4.812925,6.2304,8.3982
14,1.011975,1.0635,1.042775,0.8555975,1.13535,1.0833,1.05745,1.0408,1.1468,1.61875,1.888,2.031425,1.671475,1.495625,1.61595,1.319625,2.966375,3.097925,3.002325,2.8733,2.550375,2.84205,4.154175,5.444375,4.34675,5.11455,5.817725,4.8173,6.052525,4.364375,5.982925,7.269225
15,0.974645,1.0173,1.10855,0.9441525,1.1657,1.19685,1.18995,1.003275,1.0243,1.68345,1.869975,1.70195,1.5853,1.3398,1.335725,1.4482,2.670575,2.694425,2.866225,3.013225,3.151475,3.061125,4.119575,5.623275,4.78735,5.5742,5.7327,4.989275,6.55755,5.08875,6.12695,8.3076
16,0.901665,0.9178825,1.092975,0.87994,1.110675,1.02275,1.2511,1.1127,1.085425,1.8144,1.760775,1.594525,1.1923,1.333825,1.49715,1.3139,3.03165,2.915625,2.9847,2.870975,2.963225,2.87195,4.34765,4.992975,4.3729,5.917025,5.1582,4.735225,6.17025,5.413125,5.661425,8.0062
17,0.9723075,1.123425,0.9425575,0.9488375,1.2736,0.9631225,0.985765,1.0866,1.088225,1.58345,1.57705,1.5856,1.6417,1.246075,1.419025,1.177475,2.93005,3.092025,2.912325,2.945325,3.00795,2.731425,4.136925,4.89415,4.77685,5.787975,5.071075,4.871825,6.543125,5.201475,5.74415,8.4019
18,1.13335,0.888355,1.013725,0.870525,1.201725,1.09745,1.22725,1.16075,0.9155925,1.65625,1.6809,1.541575,1.62575,1.30305,1.64875,1.267125,3.1431,2.73705,3.079525,3.406475,2.628675,2.814425,4.035525,4.429,4.5711,6.103975,4.6912,5.1284,6.9801,5.310075,5.8035,8.68845
19,1.083575,1.01905,1.159125,1.016,1.046325,0.9346475,1.164225,1.079175,0.9241425,1.775,1.649375,1.614425,1.419675,1.65855,1.66085,1.19715,2.744225,3.426225,2.9226,2.69795,2.5654,2.65675,4.183425,4.256325,4.6254,5.302525,4.7908,5.0698,6.393375,5.323125,5.481775,8.822325
20,1.036425,1.1628,1.046925,0.980595,1.251125,0.98249,0.960735,1.0672,0.9190875,1.697025,1.5498,1.60445,1.78135,1.27215,1.8272,1.288875,2.9308,3.41025,2.866825,2.718825,2.428025,2.6803,4.395425,4.902625,4.741775,5.293025,5.117725,5.38545,6.3729,5.367875,5.715825,8.05355
21,1.080225,1.0721,0.944895,1.00575,1.133875,0.936435,1.055525,1.124575,0.938735,1.6782,1.73655,1.65875,1.6481,1.488475,1.534075,1.13735,2.9338,2.792475,2.906425,2.77,2.59955,2.72865,5.22315,4.573825,4.79715,5.2108,4.694525,4.60615,6.437875,5.3072,5.47245,7.185125
22,0.95345,1.0279,0.942695,0.96921,1.062325,0.9240825,1.092675,0.9786725,0.857675,1.679125,1.82605,1.770025,1.716125,1.352325,1.56865,1.3205,2.815675,3.178725,2.892975,2.80135,2.445275,2.8483,4.986625,4.002575,4.324425,5.203,4.893725,4.6397,6.722,5.037425,5.484,6.805575
23,0.9837325,1.222075,0.7765025,0.9548725,1.08265,0.93768,0.9435625,0.996555,1.12775,1.66795,1.634575,1.87,1.62455,1.24265,1.413125,1.339725,2.9429,3.0256,3.066075,2.932675,2.82985,2.686075,4.6095,4.11765,4.328075,5.213975,4.794825,5.021925,6.15425,5.318375,4.93005,7.811275
24,0.882135,1.0068,0.9658175,1.02535,0.8765425,1.1199,1.0569,1.08465,1.1033,1.712875,1.598675,1.71505,1.634525,1.156725,1.2715,1.207175,3.39185,2.987625,2.864125,2.75465,2.5709,2.50325,4.37015,4.950725,5.09455,5.65125,4.921425,4.51975,6.171225,5.622,5.0553,7.422975
25,0.9716075,0.917885,1.02385,0.98042,1.1138,1.0923,1.08915,1.0767,0.9468725,1.743975,1.6304,1.902775,1.68555,1.246375,1.4808,1.396575,3.571625,2.91505,3.0842,2.766975,2.638075,2.822425,3.795425,5.09,4.8974,5.592525,4.658225,4.8458,6.066775,5.695925,5.1764,8.042875
26,1.100875,1.08655,0.9490925,0.95002,0.930545,0.9859425,1.230975,0.88419,1.105475,1.7267,1.805025,1.763375,1.694775,1.168125,1.23115,1.25835,3.36855,2.658625,3.07685,2.96575,2.630475,3.1038,4.11965,5.0249,4.683475,5.6805,4.638775,4.56095,6.001925,5.643125,5.387825,7.32565
27,0.90792,0.9958075,0.940695,0.943395,0.99368,1.116425,1.1517,1.05425,1.219625,1.83955,1.750575,1.703675,1.701575,1.29225,1.57505,1.401825,3.23175,2.69495,3.1826,2.9116,2.4263,3.016725,4.42655,5.137675,4.1327,5.352,4.594275,4.782675,5.815875,6.126525,5.790675,7.966375
28,1.007275,0.9667125,1.015675,1.170625,0.9533275,1.26315,0.963995,1.112625,1.06445,1.75705,1.845925,2.044175,1.88035,1.32135,1.565075,1.262,3.099675,2.76235,3.15825,2.7011,2.719025,2.802925,4.283875,5.171825,4.200525,4.788375,4.27325,4.646175,5.426825,6.01235,6.012975,7.77825
29,0.947005,1.093275,0.8654775,1.200375,0.778145,1.1703,1.158525,1.032325,1.108075,1.63765,1.705125,1.913,1.666125,1.250175,1.47745,1.168125,2.759825,2.82915,3.104825,2.594025,2.4571,2.6606,4.2647,4.57635,4.209175,4.679425,4.4226,4.5166,5.37855,6.23025,5.78295,7.5699
30,0.92699,0.9663875,0.81269,1.04835,1.009275,1.013325,0.82471,0.9525475,1.0464,1.8364,1.77575,2.0977,1.694975,1.418425,1.7313,1.266075,3.193875,3.1008,2.9587,2.726875,2.62025,2.893575,3.9865,4.64285,4.2983,4.31905,4.785775,4.539425,5.32955,6.402225,5.379075,7.011925
31,1.0742,1.021325,0.97291,1.16315,0.9539525,1.0834,0.89914,1.1623,1.12685,1.613975,1.88085,1.736925,1.75315,1.451675,1.459275,1.525325,3.27295,3.206425,2.786975,2.784975,2.821425,2.82065,4.65735,4.10885,4.715575,4.380025,4.917575,4.464975,5.152425,6.60355,5.427375,8.003175
32,0.960035,1.195775,0.991715,0.98442,0.910925,1.0404,1.077025,1.014575,1.206125,1.5404,1.83625,1.559375,1.3679,1.4038,1.4489,1.41605,3.38875,3.604925,2.785425,2.98555,2.8554,2.902725,4.966875,4.36175,4.065325,4.923525,4.78685,4.7925,4.835675,6.541775,5.7163,7.57755
33,0.9904825,0.9319375,1.0083,1.202575,0.952685,0.948255,1.0365,1.049125,0.9778075,1.888275,1.47665,1.6511,1.585825,1.357275,1.54805,1.208325,3.226125,3.1729,2.90995,3.086525,2.641075,2.659125,4.99515,4.2029,4.868975,4.52545,4.938225,4.8257,4.7721,6.4905,5.461725,5.7679
34,1.070225,0.9191075,0.89167,1.1617,0.9790425,0.9805375,1.147075,1.080025,1.021875,1.730325,1.67215,1.48505,1.56265,1.267975,1.42665,1.070525,2.971975,2.81425,2.740175,2.738325,2.6323,2.7351,5.0998,4.13265,4.4252,4.553325,5.16535,5.08025,5.464875,6.4238,5.71845,7.021425
35,1.064825,1.0252,0.9253775,0.9362375,0.93387,1.10545,0.9808575,1.120825,1.168625,1.667075,1.484,1.541275,1.61625,1.323975,1.643075,1.100975,2.7072,3.054475,3.267525,3.089975,2.950925,2.9672,5.1291,4.78275,4.758425,4.54665,4.76925,5.090275,5.145075,7.144875,5.2792,8.561575
36,0.993315,0.93036,1.048075,1.1985,1.089825,1.074925,1.08115,1.14285,0.993925,1.793275,1.56775,1.561175,1.50295,1.61825,1.44435,1.29455,3.173925,2.59035,2.9932,3.021175,2.665025,2.717325,5.0758,4.697825,4.723075,4.900225,4.819325,5.416125,4.846925,6.407825,5.892225,7.553575
